model_id,nfolds,fold_assignment,max_after_balance_size,max_confusion_matrix_size,max_hit_ratio_k,standardize,activation,epochs,train_samples_per_iteration,seed,rho,epsilon,rate,rate_annealing,rate_decay,momentum_start,momentum_ramp,l1,l2,max_w2,initial_weight_distribution,initial_weight_scale,loss,quantile_alpha,tweedie_power,score_interval,huber_alpha,score_training_samples,score_validation_samples,score_duty_cycle,stopping_rounds,stopping_metric,stopping_tolerance,max_runtime_secs,score_validation_sampling,diagnostics,fast_mode,force_load_balance,variable_importances,single_node_mode,quiet_mode,autoencoder,sparse,col_major,average_activation,sparsity_beta,reproducible,export_weights_and_biases,mini_batch_size,categorical_encoding,elastic_averaging,elastic_averaging_moving_rate,elastic_averaging_regularization
DeepLearning_1_AutoML_20190418_163635,5,modulo,5,20,0,TRUE,Rectifier,10.39502834,-2,4.47E+18,0.99,1.00E-08,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_1_AutoML_20190418_163635,5,modulo,5,20,0,TRUE,Rectifier,10.39502834,-2,4.47E+18,0.99,1.00E-08,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_1_AutoML_20190418_165439,5,modulo,5,20,0,TRUE,Rectifier,10.38571692,-2,2.78E+18,0.99,1.00E-08,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_grid_1_AutoML_20190418_165439_model_2,5,modulo,5,20,0,TRUE,RectifierWithDropout,0.798709118,-2,-6.76E+18,0.95,1.00E-08,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_grid_1_AutoML_20190418_165439_model_3,5,modulo,5,20,0,TRUE,RectifierWithDropout,0.487762037,-2,-7.09E+18,0.95,1.00E-07,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_grid_1_AutoML_20190418_165439_model_1,5,modulo,5,20,0,TRUE,RectifierWithDropout,1.127053166,-2,7.22E+18,0.9,1.00E-09,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_grid_1_AutoML_20190418_181012_model_2,5,modulo,5,20,0,TRUE,Rectifier,10.39502834,-2,4.47E+18,0.99,1.00E-08,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_grid_1_AutoML_20190418_172432_model_1,5,modulo,5,20,0,TRUE,Rectifier,10.39801284,-2,1.65E+18,0.99,1.00E-08,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_grid_1_AutoML_20190418_172432_model_2,5,modulo,5,20,0,TRUE,RectifierWithDropout,13.26777412,-2,6.50E+18,0.99,1.00E-08,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_grid_1_AutoML_20190418_165439_model_2,5,modulo,5,20,0,TRUE,RectifierWithDropout,1.448387564,-2,7.42E+18,0.9,1.00E-07,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_grid_1_AutoML_20190418_172432_model_3,5,modulo,5,20,0,TRUE,RectifierWithDropout,0.798709118,-2,-6.76E+18,0.95,1.00E-08,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_grid_1_AutoML_20190418_181012_model_3,5,modulo,5,20,0,TRUE,RectifierWithDropout,0.717299766,-2,3.43E+17,0.99,1.00E-06,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_grid_1_AutoML_20190418_165439_model_3,5,modulo,5,20,0,TRUE,RectifierWithDropout,0.487762037,-2,-7.09E+18,0.95,1.00E-07,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_grid_1_AutoML_20190418_181012_model_1,5,modulo,5,20,0,TRUE,RectifierWithDropout,1.127053166,-2,7.22E+18,0.9,1.00E-09,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_grid_1_AutoML_20190418_165439_model_1,5,modulo,5,20,0,TRUE,RectifierWithDropout,0.277101747,-2,9.00E+18,0.95,1.00E-08,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_grid_1_AutoML_20190418_172432_model_4,5,modulo,5,20,0,TRUE,RectifierWithDropout,17.61201577,-2,-3.75E+18,0.9,1.00E-08,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_1_AutoML_20190418_181012,5,modulo,5,20,0,TRUE,RectifierWithDropout,13.26777412,-2,6.50E+18,0.99,1.00E-08,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_1_AutoML_20190418_163635,5,modulo,5,20,0,TRUE,RectifierWithDropout,1.448387564,-2,7.42E+18,0.9,1.00E-07,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_1_AutoML_20190418_172432,5,modulo,5,20,0,TRUE,RectifierWithDropout,0.798709118,-2,-6.76E+18,0.95,1.00E-08,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_1_AutoML_20190418_165439,5,modulo,5,20,0,TRUE,RectifierWithDropout,0.717299766,-2,3.43E+17,0.99,1.00E-06,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_1_AutoML_20190418_163635,5,modulo,5,20,0,TRUE,RectifierWithDropout,0.23547161,-2,6.00E+18,0.95,1.00E-07,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_1_AutoML_20190418_172432,5,modulo,5,20,0,TRUE,RectifierWithDropout,0.487762037,-2,-7.09E+18,0.95,1.00E-07,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_grid_1_AutoML_20190418_172432_model_1,5,modulo,5,20,0,TRUE,RectifierWithDropout,2.169857296,-2,-4.64E+18,9.50E-01,1.00E-09,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_grid_1_AutoML_20190418_172432_model_2,5,modulo,5,20,0,TRUE,RectifierWithDropout,1.127053166,-2,7.22E+18,0.9,1.00E-09,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_grid_1_AutoML_20190418_165439_model_2,5,modulo,5,20,0,TRUE,RectifierWithDropout,0.277101747,-2,9.00E+18,0.95,1.00E-08,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_grid_1_AutoML_20190418_172432_model_3,5,modulo,5,20,0,TRUE,Rectifier,10.3975732,-2,1.82E+18,0.99,1.00E-08,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_grid_1_AutoML_20190418_165439_model_3,5,modulo,5,20,0,TRUE,Rectifier,10.3975732,-2,4.47E+18,0.99,1.00E-08,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_grid_1_AutoML_20190418_165439_model_1,5,modulo,5,20,0,TRUE,Rectifier,10.39801284,-2,1.65E+18,0.99,1.00E-08,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
DeepLearning_grid_1_AutoML_20190418_172432_model_4,5,modulo,5,20,0,TRUE,Rectifier,10.38571692,-2,2.78E+18,0.99,1.00E-08,0.005,1.00E-06,1,0,1000000,0,0,3.40E+38,"""UniformAdaptive""",1,Automatic,0.5,1.5,5,0.9,10000,0,0.1,0,deviance,0.006802092,0,Uniform,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FLASE,FLASE,1,AUTO,FALSE,0.9,0.001
