model_id,nfolds,max_after_balance_size,max_confusion_matrix_size,max_hit_ratio_k,ntrees,max_depth,min_rows,nbins,nbins_top_level,nbins_cats,stopping_rounds,stopping_metric,stopping_tolerance,seed,learn_rate,learn_rate_annealing,distribution,quantile_alpha,tweedie_power,huber_alpha,min_split_improvement,histogram_type,pred_noise_bandwidth,categorical_encoding
GBM_1_AutoML_20190418_163635,5,5,20,0,86,15,100,20,1024,1024,0,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_3_AutoML_20190418_163635,5,5,20,0,86,15,100,20,1024,1024,0,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_5_AutoML_20190418_163635,5,5,20,0,86,15,100,20,1024,1024,0,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_4_AutoML_20190418_163635,5,5,20,0,86,15,100,20,1024,1024,0,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_2_AutoML_20190418_163635,5,5,20,0,86,15,100,20,1024,1024,0,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_163635_model_1,5,5,20,0,4,10,5,20,1024,1024,0,deviance,0.006802092,-2.52E+18,0.008,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_165439_model_1,5,5,20,0,114,9,15,20,1024,1024,0,deviance,0.006802092,8.80E+18,0.1,1,gaussian,0.5,1.5,0.9,0.0001,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_165439_model_2,5,5,20,0,447,11,10,20,1024,1024,0,deviance,0.006802092,-7.38E+18,0.001,1,gaussian,0.5,1.5,0.9,0.0001,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_163635_model_1,5,5,20,0,4,10,5,20,1024,1024,0,deviance,0.006802092,8.80E+18,0.1,1,gaussian,0.5,1.5,0.9,0.0001,AUTO,0,AUTO
GBM_1_AutoML_20190418_165439,5,5,20,0,79,15,100,20,1024,1024,0,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_3_AutoML_20190418_165439,5,5,20,0,79,15,100,20,1024,1024,0,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_1_AutoML_20190418_163635,5,5,20,0,79,15,100,20,1024,1024,0,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_2_AutoML_20190418_165439,5,5,20,0,79,15,100,20,1024,1024,0,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_4_AutoML_20190418_165439,5,5,20,0,86,15,100,20,1024,1024,0,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_3_AutoML_20190418_163635,5,5,20,0,86,15,100,20,1024,1024,0,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_5_AutoML_20190418_163635,5,5,20,0,86,15,100,20,1024,1024,0,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_4_AutoML_20190418_163635,5,5,20,0,86,15,100,20,1024,1024,0,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_2_AutoML_20190418_163635,5,5,20,0,86,15,100,20,1024,1024,0,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_5_AutoML_20190418_165439,5,5,20,0,79,15,100,20,1024,1024,0,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_172432_model_2,5,5,20,0,115,10,10,20,1024,1024,0,deviance,0.006802092,5.53E+18,0.08,1,gaussian,0.5,1.5,0.9,0.0001,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_165439_model_1,5,5,20,0,114,9,15,20,1024,1024,0,deviance,0.006802092,8.80E+18,0.1,1,gaussian,0.5,1.5,0.9,0.0001,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_172432_model_4,5,5,20,0,159,4,15,20,1024,1024,0,deviance,0.006802092,5.08E+18,0.1,1,gaussian,0.5,1.5,0.9,0.0001,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_172432_model_5,5,5,20,0,150,11,100,20,1024,1024,0,deviance,0.006802092,5.78E+18,0.05,1,gaussian,0.5,1.5,0.9,0.0001,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_172432_model_1,5,5,20,0,477,4,100,20,1024,1024,0,deviance,0.006802092,-6.45E+18,0.01,1,gaussian,0.5,1.5,0.9,0.0001,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_172432_model_6,5,5,20,0,299,15,100,20,1024,1024,0,deviance,0.006802092,-4.96E+18,0.01,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_172432_model_3,5,5,20,0,34,14,15,20,1024,1024,0,deviance,0.006802092,1.76E+18,0.5,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_165439_model_2,5,5,20,0,447,11,10,20,1024,1024,0,deviance,0.006802092,-7.38E+18,0.001,1,gaussian,0.5,1.5,0.9,0.0001,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_163635_model_1,5,5,20,0,4,10,5,20,1024,1024,0,deviance,0.006802092,-2.52E+18,0.008,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_1_AutoML_20190418_165439,5,5,20,0,79,15,100,20,1024,1024,0,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_3_AutoML_20190418_165439,5,5,20,0,79,15,100,20,1024,1024,0,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_1_AutoML_20190418_163635,5,5,20,0,86,15,100,20,1024,1024,0,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_2_AutoML_20190418_165439,5,5,20,0,79,15,100,20,1024,1024,0,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_4_AutoML_20190418_172432,5,5,20,0,87,15,100,20,1024,1024,0,deviance,0.006802092,6.19E+16,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_4_AutoML_20190418_165439,5,5,20,0,79,15,100,20,1024,1024,0,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_3_AutoML_20190418_172432,5,5,20,0,79,15,100,20,1024,1024,0,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_3_AutoML_20190418_163635,5,5,20,0,79,15,100,20,1024,1024,0,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_5_AutoML_20190418_163635,5,5,20,0,87,15,100,20,1024,1024,0,deviance,0.006802092,6.19E+16,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_4_AutoML_20190418_163635,5,5,20,0,86,15,100,20,1024,1024,0,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_2_AutoML_20190418_163635,5,5,20,0,86,15,100,20,1024,1024,0,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_1_AutoML_20190418_172432,5,5,20,0,86,15,100,20,1024,1024,0,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_2_AutoML_20190418_172432,5,5,20,0,86,15,100,20,1024,1024,0,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_5_AutoML_20190418_165439,5,5,20,0,86,15,100,20,1024,1024,0,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_5_AutoML_20190418_172432,5,5,20,0,87,15,100,20,1024,1024,0,deviance,0.006802092,6.19E+16,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_165439_model_2,5,5,20,0,87,15,100,20,1024,1024,0,deviance,0.006802092,6.19E+16,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_163635_model_1,5,5,20,0,79,15,100,20,1024,1024,0,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_172432_model_2,5,5,20,0,87,15,100,20,1024,1024,0,deviance,0.006802092,6.19E+16,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_165439_model_1,5,5,20,0,447,11,10,20,1024,1024,0,deviance,0.006802092,-7.38E+18,0.001,1,gaussian,0.5,1.5,0.9,0.0001,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_172432_model_4,5,5,20,0,4,10,5,20,1024,1024,0,deviance,0.006802092,-2.52E+18,0.008,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_172432_model_5,5,5,20,0,115,10,10,20,1024,1024,0,deviance,0.006802092,5.53E+18,0.08,1,gaussian,0.5,1.5,0.9,0.0001,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_181012_model_3,5,5,20,0,114,9,15,20,1024,1024,0,deviance,0.006802092,8.80E+18,0.1,1,gaussian,0.5,1.5,0.9,0.0001,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_172432_model_1,5,5,20,0,159,4,15,20,1024,1024,0,deviance,0.006802092,5.08E+18,0.1,1,gaussian,0.5,1.5,0.9,0.0001,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_172432_model_6,5,5,20,0,150,11,100,20,1024,1024,0,deviance,0.006802092,5.78E+18,0.05,1,gaussian,0.5,1.5,0.9,0.0001,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_172432_model_3,5,5,20,0,623,3,100,20,1024,1024,0,deviance,0.006802092,-5.97E+18,0.01,1,gaussian,0.5,1.5,0.9,0.0001,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_181012_model_2,5,5,20,0,477,4,100,20,1024,1024,0,deviance,0.006802092,-6.45E+18,0.01,1,gaussian,0.5,1.5,0.9,0.0001,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_181012_model_1,5,5,20,0,299,15,100,20,1024,1024,0,deviance,0.006802092,-4.96E+18,0.01,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_165439_model_2,5,5,20,0,34,14,15,20,1024,1024,0,deviance,0.006802092,1.76E+18,0.5,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_181012_model_4,5,5,20,0,1376,9,30,20,1024,1024,0,deviance,0.006802092,-8.30E+18,0.001,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_grid_1_AutoML_20190418_163635_model_1,5,5,20,0,32,17,30,20,1024,1024,0,deviance,0.006802092,7.25E+18,0.001,1,gaussian,0.5,1.5,0.9,1.00E-04,AUTO,0,AUTO
GBM_1_AutoML_20190418_181012,5,5,20,0,447,11,10,20,1024,1024,0,deviance,0.006802092,-7.38E+18,0.001,1,gaussian,0.5,1.5,0.9,0.0001,AUTO,0,AUTO
GBM_1_AutoML_20190418_165439,5,5,20,0,13,15,10,20,1024,1024,0,deviance,0.006802092,-5.03E+18,0.001,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_3_AutoML_20190418_165439,5,5,20,0,4,10,5,20,1024,1024,0,deviance,0.006802092,-2.52E+18,0.008,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_1_AutoML_20190418_163635,5,5,20,0,84,15,100,20,1024,1024,0,deviance,0.006802092,-4.52E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_2_AutoML_20190418_165439,5,5,20,0,79,15,100,20,1024,1024,0,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_3_AutoML_20190418_181012,5,5,20,0,79,15,100,20,1024,1024,0,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_4_AutoML_20190418_172432,5,5,20,0,86,15,100,20,1024,1024,0,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_2_AutoML_20190418_181012,5,5,20,0,79,15,100,20,1024,1024,0,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_4_AutoML_20190418_165439,5,5,20,0,84,15,100,20,1024,1024,0,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_3_AutoML_20190418_172432,5,5,20,0,84,15,100,20,1024,1024,0,deviance,0.006802092,-4.52E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_3_AutoML_20190418_163635,5,5,20,0,79,15,100,20,1024,1024,0,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_4_AutoML_20190418_181012,5,5,20,0,87,15,100,20,1024,1024,0,deviance,0.006802092,6.19E+16,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_5_AutoML_20190418_163635,5,5,20,0,84,15,100,20,1024,1024,0,deviance,0.006802092,-4.52E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_4_AutoML_20190418_163635,5,5,20,0,86,15,100,20,1024,1024,0,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_2_AutoML_20190418_163635,5,5,20,0,86,15,100,20,1024,1024,0,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_1_AutoML_20190418_172432,5,5,20,0,87,15,100,20,1024,1024,0,deviance,0.006802092,6.19E+16,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_2_AutoML_20190418_172432,5,5,20,0,87,15,100,20,1024,1024,0,deviance,0.006802092,6.19E+16,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_5_AutoML_20190418_165439,5,5,20,0,79,15,100,20,1024,1024,0,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_5_AutoML_20190418_181012,5,5,20,0,84,15,100,20,1024,1024,0,deviance,0.006802092,-4.52E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
GBM_5_AutoML_20190418_172432,5,5,20,0,87,15,100,20,1024,1024,0,deviance,0.006802092,6.19E+16,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,0,AUTO
